          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
         
node   1 sent_total    481  recv_total    468

node   2  (   1,    0) (   0,    0) (   4,    2) (  12,    4) (  24,    9) (  16,   16) (  25,   38) (  11,   24) (  14,   29) (   5,    8)
          (   2,    2) (   4,    3) (   0,    0) (   1,    2) (   2,    0) (   1,    1) (   5,    0) (   1,    1) (   1,    4) (   0,    0)
          (   0,    4) (   2,    1) (   0,    0) (   3,    2) (   9,    9) (   1,    1) (   3,    2) (   0,    2) (   0,    1) (   2,    0)
          (   0,    0) (   3,    2) (   3,    3) (   0,    3) (   0,    0) (   1,    1) (   5,    0) (   1,    1) (   2,    3) (   0,    0)
          (   1,    5) (   1,    0) (   1,    1) (   0,    1) (   0,    0) (   6,    0) (   5,    4) (   3,    3) (   4,    5) (   3,    9)
          (   0,    0) (   2,    1) (   0,    0) (   2,    3) (   2,    0) (   3,    3) (   1,    0) (   3,    3) (   0,    3) (   2,    2)
          (   1,    1) (   1,    0) (   1,    1) (   3,    2) (   3,    1) (   2,    0) (   2,    1) (   0,    2) (   2,    5) (   0,    2)
          (   0,    0) (   1,    0) (   1,    1) (   1,    2) (   3,    3) (   2,    2) (   5,    4) (   1,    1) (   1,    2) (   0,    0)
